Relatos,Relatos_Traduzidos
"é um pouco desanimador, pois sempre quis estudar no IF de forma presencial, é claro, mas em breve tudo isso acabará e iremos para o campus","is a bit discouraging, because I always wanted to study in the IF in a face-to-face, of course, but soon all this will end and we will go to the campus"
"                          Novas experiências
 No IFPB, já me sinto confortável. Apesar das aulas não terem começado presencialmente, me sinto pronta para essa nova fase de conhecimento estudantil e pessoal. ","New experiences
 In IFPB, I already feel comfortable.Despite classes they have not begun in person, I feel ready for this new phase of student and personal knowledge."
"O ensino remoto ainda está sendo novo pra mim, e ainda preciso tirar dúvidas sobre os aplicativos que iremos usar nesse momento. Mas eu sei que vou conseguir me adaptar a essa nova realidade. ","Remote teaching is still being new to me, and I still need to ask questions about the applications that we will use at that time.But I know I can adapt to this new reality."
"As expectativas são muitas e as melhores, porém com o ensino remoto, pode se tornar algo dificultoso em relação ao ensino/aprendizado. Uma vez em que o ensino a distância não possibilita um contato direto com todos os integrantes do campus. ","Expectations are many and best, but with remote education, it can become something difficult about teaching / learning.Once distance learning does not allow direct contact with all campus members."
"  Minhas expectativas em relação ao ensino remoto são altas, e acredito que será algo desafiador, devido a necessidade de uma adaptação do ensino presencial ,para um ensino remoto.
  Apesar da grande diferença entre o ensino remoto e o ensino presencial em minha percepção, espero que seja o mais proveitoso possível, nas circunstâncias atuais.
  Pelo que me foi apresentado até aqui, o ensino é de excelência qualidade,e estou ansioso para participar das aulas presenciais,quando for possível ","My expectations regarding remote education are high, and I believe it will be a challenging, due to the need for an adaptation of face-to-face education for remote education.
  Despite the big difference between remote education and face-to-face education in my perception, I hope it is as useful as possible, in current circumstances.
  As far as I was presented to me, the teaching is of excellence quality, and I am looking forward to participating in the face-to-face classes, when possible"
"Eu acho que o ensino remoto deste ano de 2021, será muito superior ao do ano de 2020. Minhas expectativas para o IFPB e as aulas remotas são esplendorosas e maravilhosas.",I think this year's remote teaching of 2021 will be far superior to the year 2020. My expectations for IFPB and remote classes are splendid and wonderful.
"Acredito que continuará sendo uma nova experiência, que será muito enriquecedora e que poderá trazer bons frutos, mesmo diante de todas as adversidades atuais.","I believe it will continue to be a new experience, which will be very enriching and that you can bring good fruits, even in the face of all current adversities."
"   As Atividades de Ensino Não Presenciais, são de extrema importância na atual situação do Brasil e do mundo, sob a ameaça da COVID-19. É um meio de ensino que preserva a saúde e a vida dos estudantes e professores. Sendo assim, eu acredito que o ensino remoto parta de um objetivo humanitário.","Non-face-to-face education activities are of extreme importance in the current situation in Brazil and the world, under the threat of Covid-19.It is a means of teaching that preserves the health and life of students and teachers.Therefore, I believe that remote teaching of a humanitarian goal."
"O ensino remoto é algo novo para mim, estou em época de adaptação e é sempre bom estar acostumada com mudanças. Acredito que irei sim conseguir administrar o tempo e realizar o que será proposto. Será um ambiente que não estou muito acostumada, mas irei conseguir! ","Remote teaching is something new to me, I am in time of adaptation and it is always good to be accustomed to changes.I believe I will be able to manage time and realize what will be proposed.It will be an environment that I am not very accustomed, but I will get it!"
"Acredito que o ensino remoto não seja algo muito bom, mas em visto a situação atual em que estamos vivendo é considerável. Particularmente adoraria ter de volta às atividades presenciais, mas acima de tudo sei que os professores estão dando o melhor de si e nós alunos nos esforçando para fazer o ensino remoto valer a pena.","I believe that remote teaching is not very good, but seen the current situation in which we are living is considerable.Particularly would love to have back to face-to-face activities, but above all I know that teachers are giving the best of themselves and we students struggling to make remote teaching worth it."
"O ensino remoto é diferente do que estamos acostumados, mas espero aprender da mesma forma e com a mesma qualidade que o ensino presencial, com a ajuda e orientação dos professores. Também vou me esforçar muito para melhor a minha aprendizagem.","Remote teaching is different from what we are accustomed to, but I hope to learn in the same way and with the same quality as face-to-face education, with the help and guidance of teachers.I will also try hard for better my learning."
"Minhas expectativas quanto ao ensino remoto é que seja bastante aproveitado, tentando seguir planos e rotinas, com organização para ter o controle e não perder o foco no aprendizado, pois, estamos em um tempo bastante difícil, com muitas dificuldades ao longo dos estudos.","My expectations regarding remote education is that it is quite harvested, trying to follow plans and routines, with organization to have control and not lose focus on learning, because we are in a very difficult time, with many difficulties throughout the studies."
" Como ouvi falar muito bem da IF , minhas expectativas são altas penso em ampliar meu ciclo de amizade , fazer coisas novas e estou muito anciosa para aprender sobre o meu curso.","As I heard very well the IF, my expectations are high I think of expanding my cycle of friendship, doing new things and I am very anxious to learn about my course."
"Espero que seja um período proveitoso, sem déficit nos conteúdos nem na interação entre estudantes, professores e coordenação.","I hope it is a profitful period, no deficit in the contents or the interaction between students, teachers and coordination."
"Minhas expectativas são positivas, mesmo sabendo que estamos em uma forma de ensino remota que traz grandes desafios, mas que, ao mesmo tempo nos dá a oportunidade de desenvolver outras habilidades e competências que ainda não estavam sendo tão usufruídas no processo de aprendizagem.","My expectations are positive, even knowing that we are in a remote form of education that brings great challenges, but that at the same time gives us the opportunity to develop other skills and skills that have not yet been as enjoyable in the learning process."
"  As minhas expectativas é que com essas aulas remotas vão ajudar a continar  tendo aula, mais não vai ser como antes  alunos vão demorar um pouco para se adaptar.

 As aulas não precencias é bom Para aqueles alunos que tem dificuldade de ir para a escola não tendo transporte ou morando em zonas rurais por exemplo.

   E as escolas tiveram que se adaptar a um novo estilo de ensino e  mudarem algumas coisas e acabaram se atrasando por conta disso isso acabou prejudicando alunos e escolas
as aulas precencias está sendo  boa para não atrasarem mais ainda alunos e escolas.

","My expectations is that with these remote lessons will help you contain taking class, but it will not be as before students will take a while to adapt.

 Non-precision classes is good for those students who have difficulty going to school having no transport or living in rural areas for example.

   And schools had to adapt to a new teaching style and change some things and ended up being late because of this it ended up harming students and schools
Classes are good not to delay even more students and schools."
"Me sinto um pouco desconfortável, mesmo tendo conhecimento sobre os meios de ensino remoto e tendo uma equipe de gestão de apoio para os alunos, o início da faculdade vai ser um pouco difícil por determinadas matérias e pelo ano letivo um pouco confuso por causa da pandemia, em geral é esse o meu desconforto agora no início de faculdade.","I feel a little uncomfortable, even though I have knowledge about the remote media and having a support management team for students, the beginning of college will be a bit difficult for certain subjects and the school year a little confusing because of the pandemic, Overall this is my discomfort now at the beginning of college."
"Graças ao avanço da tecnologia nós podemos ter aulas, não presenciais, por motivo do grave momento em que estamos vivendo. Não é nada fácil, mas com o tempo gera a adaptação! 
Minhas expectativas quanto ao ensino remoto é que eu consiga fazer novas amizades e aprender mais sobre o meu curso, acumulando, assim, novas experiências.","Thanks to the advancement of technology we can take classes, do not face, because of the serious moment when we are living.It's not easy, but over time it generates adaptation!
My expectations regarding remote education is that I can make new friendships and learn more about my course, thus accumulating new experiences."
"As minhas expectativas não são tão altas, estudo a distancia não é muito bom, tem vários fatores que podem tornar o ensino remoto bem complicado tais como o não acesso a internet diariamente, não ter um ambiente adequado ou calmo para estudar, a desmotivação entres outros fatores.Como estudante do ensino médio meu ultimo ano foi ensino remoto, passei algumas dificuldades ao longo dos meses o que me desmotivou bastante sobre o ensino remoto mais acabei não deixando me abalar por não ter acesso a internet o tempo inteiro ou um aparelho celular bom para me ajudar nessa forma de ensino, consegui terminar meu ensino médio, com um pouco de dificuldade mas consegui!  ","My expectations are not so high, study the distance is not very good, has several factors that can make remote education well complicated such as non access to internet daily, do not have a proper or calm environment to study, unmotivation after othersfactors.To help me in this form of teaching, I was able to finish my high school, with a little difficulty but I got it!"
"Eu tenho a expectativa de aprender mais. Pois na minha antiga escola, alguns dos professores não tinham domínio da tecnologia e a aula perdia muito da didática. Então a minha expectativa é: estar num ambiente onde os professores saibam lidar com isso, para melhorar a minha aprendizagem. No entanto eu queria muito conhecer o campus, os professores e os meus novos colegas. É estranho pensar que estudo numa escola que não conheço, com pessoas que nunca vi. :(","I have the expectation of learning more.For in my old school, some of the teachers had no mastery of technology and the lesson lost much of the didactics.So my expectation is: to be in an environment where teachers know how to deal with this, to improve my learning.However I really wanted to know the campus, the teachers and my new colleagues.It's strange to think that I study at a school I do not know, with people I've never seen.:("
"Na minha opinião será pouco conturbado por motivo que meu curso escolhido a muitas atividades que necessitam de pratica, Já em relação a aulas e matérias online se torna mais pratico ","In my opinion it will be little troubled for the reason that my course chosen to many activities that require practical, already in relation to classes and online materials becomes more practical"
Tenho boas expectativas ainda mais com os belos profissionais que a instituição possui ,I have good expectations even more with the beautiful professionals that the institution has
"As expectativas são altas, mas reais, afinal estudo de forma autônomo há dois anos, o primeiro ano foi devido a ineficácia do ensino médio público, superficial, como também não levava em conta minhas habilidades cognitivas particulares, o que me limitava, no segundo, descobri ou melhorei, não sei, áreas de inteligências como interpessoal e espacial. Então, ensino a distância só me beneficiou e me tirou da ideia ilusória “estudante” e me tornou um pensante questionador. 
Assim, espero um altíssimo aprendizado conforme as demandas das grades do curso e dos problemas reais da vida.
","Expectations are high, but real, afterwards, studied autonomously two years ago, the first year was due to the ineffectiveness of public, superficial high school, but also did not take into account my particular cognitive skills, which limited me in the secondI discovered or improved, I do not know, areas of intelligences as interpersonal and spatial.So, teaching distance only benefited me and took me out of the illusory idea ""student"" and made me a wonder questioner.
Thus, I expect a very high learning according to the demands of the travel grids and the real problems of life."
"O ensino remoto foi uma ótima forma de continuar os estudos, claro que não tão bom quanto presencial, mas está indo bem e estou aprendendo bastante através daqui. Espero que continue dando certo e que seja um ótimo ano letivo, que nós possamos aprender muito.","Remote teaching was a great way to continue studies, of course not as good as face-to-face, but it's going well and I'm learning a lot through here.I hope it continues to work out and be a great school year, which we can learn a lot."
"Primeiramente que é um prazer está cursando meu ensino médio e o técnico, na ifpb campus cajazeiras. E que o ensino remoto é a única opção no momento. Pra falar a verdade não é fácil passar horas assistindo aula via olinne, e ter que tá todo momento assim, mas espero que der tudo certo, e que todas as minhas expectativas sejam realizadas. E desde de já agradeço todo o apoio que tem nos dados, e todo o cuidado que estão tendo com a gente para que tudo saia como planejado.","First of all it is a pleasure to be attending my high school and the technician at IFPB Campus Cajazeiras.And that remote teaching is the only option at the moment.To tell you the truth it is not easy to spend hours watching class via olinne, and having that all the time, but I hope everything goes well, and that all my expectations are realized.And from now on I thank all the support you have in the data, and all the care you are having with us for everything to leave as planned."
"O ensino remoto é uma realidade cada vez mais comuns nas escolas atualmente; o ensino remoto é uma faca de dois gumes; pois não precisamos nos deslocar e podemos estudar do conforto da nossa casa, mas ao achar soluções também achamos algumas dificuldades pois algumas pessoas não tem acesso a internet ou a internet é ruim. Além disso temos as pessoas que  não sabem mecher muito bem com essas tecnologias, para resolver isso precisamos dar mais assistencia a elas e ajudar e mostrar o melhor e mais fácil caminho as pessoas que não conseguem se adaptar a essas novas ferramentas virtuais. ","Remote teaching is an increasingly common reality in schools today;Remote teaching is a double-edged knife;For we do not need to travel and we can study the comfort of our home, but when finding solutions we also find some difficulties because some people do not have access to the internet or the internet is bad.In addition we have people who do not know how to mecher very well with these technologies, to solve this we need to give more assistance to them and help and show the best and easiest way people who can not adapt to these new virtual tools."
"O ensino remoto foi aderido de forma ""forçada"" devido a pandemia que perdura até os dias atuais. Vejo que ele (ensino remoto) possui suas vantagens e desvantagens, mas que no atual momento é necessário. Um dos grandes problemas enfrentados é qualidade da Internet, visto que têm dias na qual está em ótima sincronia, isto é, boa qualidade. Entretanto, outros dias a mesma possui um leque de problemas, deixando muitas vezes sem entendimento do que o professor esteja tratando, dificultando assim, o nosso aprendizado. ","Remote teaching was adhered in a ""forced"" way due to the pandemic that lasts to the present day.I see that it (remote teaching) has its advantages and disadvantages, but that in the current moment is necessary.One of the big problems faced is internet quality, since they have days in which it is in great sync, that is, good quality.However, other days the same has a range of problems, leaving often without understanding of what the teacher is dealing with, making it difficult for our learning."
" Espero que o Ensino remoto seja capaz de surprir as necessidades do presencial. acredito que por meu curso ser um curso de tecnologia, não vai sofrer tanta diferença assim na questão de didática, porém em um período mais avançado talvez eu precise ir na cidade pra rodar algum programa mais pesado, que meu computador não aguente. O ensino presencial faz falta, principalmente pera interação, e também pela facilidade de manter a disciplina nos estudos.","I hope that remote teaching is able to surrender the needs of the face-to-face.I believe that because of my course to be a course of technology, it will not suffer so much difference so in the question of didactics, but in a more advanced period maybe I need to go in the city to run some heavier program, which my computer can not stand.President teaching is lacking, mainly pear interaction, and also for the ease of maintaining discipline in studies."
"O ensino remoto de minha parte é bom, mesmo que não tenha o mesmo aprendizado de ser ao vivo em sala de aula. Porem para alunos que queira mesmo o saber sendo remoto ou presencial sempre sera alcançado","Remote teaching on my part is good, even if you do not have the same learning to be live in the classroom.But for students who even want to know how to be remote or face-to-face will always be achieved"
"O ensino remoto, tem suas vantagens é um ensino muinto bom, como tambem tem algumas devantagens, mais eu espero aprander muinto nas aulas remotas ","Remote teaching, has its advantages is a very good teaching, as it also has some devastations, but I hope it feels a lot in remote lessons"
"Pelo momento complicado em que estamos passando, as aulas remotas serão de grande ajuda, porém com maiores dificuldades, conseguir prestar atenção a todas as atividades a serem feitas, conseguir entender como funciona as novas formas de assistir aula, tudo isso vem como um desafio. Aos poucos iremos nos acostumar.","From the complicated moment we are passing, remote lessons will be of great help, but with greater difficulties, to pay attention to all the activities to be made, to understand how new ways of attending lesson works, all this comes as a challenge.Gradually we will get used to it."
"Minhas expectativas são médias, nunca tive um ensino remoto mas espero que possa aprender mesmo sem aula presencial, estou um pouco insegura mas minha turma é ótima, consegui fazer muitos amigos e espero que os professores sejam ótimos também.","My expectations are averages, I have never had a remote teaching but I hope you can learn even without attending class, I am a bit insecure but my class is great, I managed to make many friends and I hope the teachers are great too."
"Espero aprender o máximo com essas aulas remotas e em breve presencial, estou muito ansioso pra às aulas presenciais, mas por enquanto vamos de remotas. A adaptação vai ser complicada, só que aos cria certo costume","I hope to learn the maximum with these remote classes and soon to face, I am very anxious to the classroom, but for now we will remote.The adaptation will be complicated, only the creative custom"
"  Da forma como está sendo elaborada, isto é, não como propriamente um EAD, mas como um substituto às aulas presenciais neste período distanciamento social, eu desejo que esta modalidade torne-se desnecessária o mais rápido possível. Principalmente por estes motivos:

 O ambiente social formado em uma sala de aula presencial possibilita que a experiência educativa vá além da ideia básica de estudar. Isto é, a experiência presencial fornece um meio social no qual o estudante pode debater suas ideias, escutar ideias diferentes e interagir mais vividamente com os professores e colegas.
 
  Por idiossincrasia, eu prefiro muito mais o autodidatismo e, logo, entre receber materiais e exercícios dos professores em offline e procurar um livro para estudá-lo por conta própria, eu prefiro imensamente mais o livro: é muito mais agradável e eficiente para mim. Ao longo da minha experiência de estudante, a grande maioria das minhas tentativas de aproveitar bem as aulas presenciais como forma de estudo em si terminaram em frustação. Por essas e outras razões que eu sou muito mais atraído por um bom livro do que apostilhas e exercícios, quando na ausência de aulas físicas.

 A modalidade de AENP atual ainda é muito monótona, visto que, espero, não foi feita para durar, ao ponto em que ela rapidamente, e fora de meu controle, provoca-me um estado apático em relação as aulas: ou seja, em pouco tempo, começa a faltar-me qualquer vontade de continuar comparecendo às aulas.

  Por fim, e talvez essa seja uma das razões desse vazio que essa modalidade traz em si, ela é pouquíssimo estimuladora. Do ponto de vista do aluno, no melhor dos casos, há uma tela de computador ou celular da qual sai uma voz constante explicando um assunto e uma única câmera ligada, normalmente a do professor, com várias e várias fotos enfileiradas de perfis do google desfocados e editados, e algumas mensagens entediadas na aba do chat. A falta de estímulo, neste caso, faz com que qualquer outra coisa torne-se mais interessante, prejudicando gravemente a capacidade de atenção do aluno, além de provocar sonolência em muita gente.","As it is being elaborated, that is, not as well as an EAD, but as a substitute for face-to-face classes in this social detachment period, I wish this modality becomes unnecessary as soon as possible. Mainly for these reasons:

 The social environment formed in a face-to-face classroom enables the educational experience to go beyond the basic idea of ​​studying. That is, the face-to-face experience provides a social medium in which the student can debate his ideas, listen to different ideas and interact more vividly with teachers and colleagues.
 
  By idiosyncrasy, I prefer much more autodidatism and then between receiving materials and exercises from teachers in offline and looking for a book to study it on their own, I prefer immensely the book: it is much more enjoyable and efficient for me. Throughout my student experience, the vast majority of my attempts to take advantage of face-to-face classes as a form of study themselves ended in frustration. For these and other reasons that I am much more attracted to a good book than youholds and exercises, when in the absence of physical classes.

 The current AENP mode is still very monotonous, since I hope, it was not made to last, to the point where it quickly, and out of my control, provokes me an apathetic state in relation to classes: that is, in little time, begins to miss any desire to continue attending classes.

  Finally, and maybe this is one of the reasons for this emptiness that this modality brings itself, it is very very stimulatory. From the student's point of view, at best, there is a computer or mobile screen from which a constant voice leaves explaining a subject and a single camera connected, usually the teacher's, with several and several photos queued from profiles from Google blurred and edited, and some bored messages on the Chat tab. The lack of stimulus, in this case, makes anything else become more interesting, seriously damaging the student's attention capacity, as well as provoking drowsiness in many people."
"As atividades remotas vem sendo nosso meio de aprendizagem. Apesar de não ser tão eficaz quanto a o ensino presencial, acredito que cada aluno e professor tem dado seu máximo, embora seja muito complicado a comunicação. Desse modo, sendo essa a única forma de ensino, devemos aproveitar ao máximo e tentar nos adaptarmos.","Remote activities has been our learning environment.Although not as effective as to face-to-face teaching, I believe that each student and teacher has given their maximum, although communication is very complicated.In this way, this is the only form of teaching, we must make the most of it and try to adapt."
"Eu espero não ter dificuldades com o ensino remoto e na utilização das ferramentas necessárias e não vejo problemas na utilização deste modo de ensino, visto que temos a chance de realizar quase tudo que podemos fazer durante as aulas presenciais.","I hope I have no difficulties with remote teaching and use of the necessary tools and I do not see problems in using this mode of teaching, since we have the chance to perform almost everything we can do during face-to-face classes."
Espero ter um aprendizado adequado para o curso de edificações,I hope to have appropriate learning for the course of buildings
"O ensino remoto tá sendo muito complicado, pois, muitos alunos não tem acesso a internet ou algum aparelho eletrônico. E também o aprendizagem não é a mesma coisa que está no ambiente escolar, porque muitos alunos ainda não está adaptado com esse ensino. ","Remote teaching is being very complicated because many students do not have access to Internet or some electronic device.And also learning is not the same thing that is in the school environment, because many students are not yet adapted with this teaching."
"Minhas expectativas para o ensino não presencial são de poder aprimorar minha base de conhecimentos tanto da base técnica quanto das não técnicas, em um ambiento pacifico, e que visa principalmente o movimento de conhecimentos coletivo de toda a turma, de uma forma interessante, demonstrativa e completa mas que também  seja fácil de se compreender para todos da turma para que ninguém fique prejudicado no processo de aprendizado.","My expectations for non-face-to-face teaching are to improve my knowledge base of both the technical and non-technical basis, in a peaceful ambient, and mainly aimed at the collective knowledge movement of the whole class, in an interesting, demonstrative andFull but is also easy to understand for everyone in the class so no one is harmed in the learning process."
"Bom e tudo novo essa forma de ensino, acredito que com esforço e dedicação e apoio do instituto vamos conseguir uma ótima base de ensino.","Good and all new this form of teaching, I believe that with effort and dedication and support from the institute we will get a great teaching base."
"Espero que o ensino seja muito proveitoso, e que possamos aprender muitas coisas. ","I hope that teaching is very fruitful, and that we can learn many things."
"Acredito que será uma experiência mais que satisfatória, na qual todos irão sair da sua zona de conforto e experimentar o ensino a distância de uma maneira bem didática e dinâmica. ","I believe it will be a more than satisfactory experience, in which everyone will come out of their comfort zone and experience distance learning in a very didactic and dynamic way."
"Apesar de algumas dificuldades que alguns alunos vão enfrentar, por falta de acesso a internet e também por que é muita novidade, principalmente para quem não tem muita prática, vai ser desafiador.","Despite some difficulties that some students will face, due to lack of internet access and also because it is much novelty, especially for those who do not have much practice, will be challenging."
" As minhas expectativas para esta modalidade de ensino ainda são bem confusas, porém acredito que será ótimo para os alunos e professores apesar de não termos os benefícios das aulas presenciais.","My expectations for this teaching mode are still very confusing, but I believe it will be great for students and teachers although we do not have the benefits of face-to-face classes."
"No entanto, esse ano esperamos  que  o aluno seja mais  priorizado,  atendendo  algumas  necessidades as quais  tivemos  que  nós  adptar, devido  às restrições  física. E só  assim  encontraremos  um método  que possa  amenizar  a vida do educando, para que  tenhamos  uma  autonomia  respeitando a desigualdade social de cada um.","However, this year we hope the student is more prioritized, serving some needs which we had to advertise, due to physical restrictions.And only then will we find a method that can soften the life of the student, so that we have an autonomy respecting the social inequality of each."
"O seguinte relato visa avaliar o desenvolvimento do aluno em relação às aprendizagens e as participações nas aulas remotas. Devidas as atuais necessidades impostas pelo isolamento social que se encontra toda a comunidade escolar, faz se necessário que a avaliação seja feita através da observação do desempenho do aluno nos exercícios e nas interações das aulas remotas sincronicas e  assíncronas  pelo professor. Além das feituras das atividades e devolutivas das mesmas. eu acredito que presencial e melhor mais essa foi a melhor forma de não perde o ano porque  ningúem sabe ate quando esta doença vai para espero que no proximo ano tudo volte ao normal mas vamos buscar conhecimento e seguir em frente os professores estão fazendo a parte deles e agente faz a nossa","The following report aims to evaluate student development in relation to learning and holdings in remote lessons.The current needs imposed by social isolation is all the whole school community, it is necessary for the evaluation to be done by observing the student's performance in the exercises and interactions of the synchronous and asynchronous remote classes by the teacher.In addition to the involvement of the activities and returns of them.I believe that face-to-face and better this was the best way to lose the year because ninguem knows until when this disease goes to hope that next year everything goes back to normal but we will seek knowledge and move on the teachers are doing the part of themand agent does our"
"Nas atividades remotas são uma forma de minimizar as consequências da pandemia na área da educação. Dessa forma, muitos professores e alunos não possuem as ferramentas básicos, para tal ensino o que diminui muito aprendizagem.","In remote activities are a way to minimize the consequences of the pandemic in the area of education.In this way, many teachers and students do not have basic tools, for such teaching which decreases a lot of learning."
"No geral, não considero o ensino remoto um método de aprendizagem excelente, porém entendo sua necessidade no contexto de distanciamento social. Como medida emergencial, serve bem ao seu propósito, mas particularmente, não sinto vontade de utilizar o ensino remoto durante o meu curso inteiro. Quanto mais rápido o ensino presencial voltar melhor seria para mim.","Overall, I do not consider remote education a method of excellent learning, but I understand its need in the context of social detachment.As an emergency measure, it serves well for your purpose, but particularly, I do not feel like using remote education during my entire course.The faster the face-to-face teaching will be better for me."
Não tenho muita expectativa.,I do not expect much expectation.
"Minhas espectativas são muitos boas , já tive aula remota nos anos passados, não tive nenhum problema com nenhuma matéria.","My expectations are very good, I already had a remote class in the past years, I had no problem with no matter."
"Espero adquirir conhecimento na área do curso escolhido, ter uma interação entre professor e aluno e que o curso venha a contribuir com minha formação profissional. ","I hope to acquire knowledge in the course of the course chosen, have an interaction between teacher and student and that the course will contribute to my professional training."
"Espero um ano bom, produtivo e sereno, que eu adquira muito conhecimento sobre meu Campus e curso, além de me dar bem com colegas e professores.","I hope a good year, productive and serene, that I get a lot of knowledge about my campus and course, besides getting good with colleagues and teachers."
"Minha expectativa não é das melhores, já que nos estamos nos conhecendo via internet, dificultando vim pouco a nossa comunicação. Por isso a expectativa não é boa","My expectation is not the best, since we are meeting ourselves via the internet, making it difficult for our communication.So expectation is not good"
"Tenho esperado que seja de fácil compreensão em relação com o uso da plataforma. Sinto-me um pouco inseguro ao usar ferramentas complexas como o suap. Espero me adequar com facilidade e desejo uma simplicidade e atenção em relação a explicação sobre o uso das plataformas com o decorrer do tempo. Além disso, espero sempre contar com a ajuda de um contado, por exemplo, que possa tirar dúvidas que possam surgir posteriormente.","I have expected that it is easy to understand in relation to the use of the platform.I feel a little insecure when using complex tools like SUAP.I hope to fit easily and desire simplicity and attention in relation to the explanation of the use of platforms over time.In addition, I always hope to rely on the help of a count, for example, that you can ask questions that may arise later."
" 
     Me sinto triste neste periodo de isolamento social, pois não posso frequentar alguns lugares,como o próprio IFPB. Entretanto mantenho como expectativas aprender e ampliar os meus conhecimentos,durante esse período de ensino remoto. Apesar desse modelo de ensino nos manter seguros em relação à pandemia, ele também pode prejudicar no desenvolvimento dos estudantes, pois muitos deles não possuem ou não sabem manusear aparelhos tecnológicos. Mesmo diante desse momento de tantas adversidades,acredito que tudo voltará à normalidade.","I feel sad in this period of social isolation, because I can not attend some places, like IFPB itself.However, I maintain as expectations to learn and expand my knowledge during this period of remote.Despite this model of teaching to keep us safe in relation to the pandemic, it can also harm in the development of students, since many of them do not have or do not know how to handle technological devices.Even before this moment of so many adversities, I believe that everything will return to normality."
"As expectativas são muitas, divididas entre otimistas e pessimistas, sendo que, de um lado estou cheia de curiosidade sobre as disciplinas, professores, método educacional usado pela instituição, por outro lado, me sinto nervosa com o ensino remoto, tenho medo de não absorver o conteúdo como deveria.","Expectations are many, divided between optimists and pessimists, and, on one side I am full of curiosity about the disciplines, teachers, educational method used by the institution, on the other hand, I feel nervous with remote education, I am afraid of not absorbThe content as it should."
"    O ensino remoto deve se adequar a realidade do aluno, fornecendo acessibilidade, utilidade e contribuindo com o bom desenvolvimento acadêmico e de conhecimentos. Os professores que administram as salas virtuais devem prestar amparo ao aluno e procurar induzi-lo ao bom desfrute dos meios que tem a disposição para estudar.
    As atividades de ensino remoto são necessárias para que se continue a jornada acadêmica tendo em vista que a atual situação do país em meio à pandemia é crítica, assim, impossibilitando a presencialidade na instituição.","Remote education should suit the reality of the student, providing accessibility, utility and contributing to good academic development and knowledge.Teachers who administer virtual rooms should pay support to the student and seek to induce it to the good enjoyment of the means they have the willingness to study.
    Remote activities are necessary for the academic journey to continue that the current situation in the country amid the pandemic is thus impossible for the presence of the institution."
"Bom, eu acredito que não vou ter problema, pois, já venho de quase um ano de ensino remoto, e consegui compreender bem as aulas,  mas é de se esperar que o ensino remoto venha acompanhado de várias dificuldades, em questão da distância entre os docentes e discentes da instituição, mas é algo que com paciência e interação, será bem resolvido.","Well, I believe I will not have a problem, because I already come from almost a year of remote education, and I could understand classes well, but remote education is to be expected to accompany various difficulties, in question of the distance between theteachers and students of the institution, but it is something that with patience and interaction will be well solved."
"Bom, como graduada, entendo a importância do contato direto com a instituição e todos que fazem parte da mesma para a formação de um profissional. No entanto, no que diz respeito a nova conjuntura adotada pelas instituições de ensino em seus diferentes níveis para dar continuidade ao processo de ensino-aprendizagem em caráter remoto que tem como base o uso das tecnologias de informação e comunicação durante este difícil período que assola o País e o mundo, ainda é um campo o qual estou me familiarizando. 
Diante do exposto, com foco no alcance dos objetivos e metas estabelecidos neste primeiro momento, se faz necessário o desenvolvimento de metodologias e utilização de ferramentas que possam atender as diferentes realidades apresentadas e suas peculiaridades, além de, estimular os indivíduos envolvidos a manterem a busca e disciplina em um ritmo constante. O ensino remoto implica em um processo de reflexão e tomada de decisões para trabalhar as suas limitações e atender a todos. ","Well, as a graduate, I understand the importance of direct contact with the institution and all that are part of it for the formation of a professional. However, with regard to the new situation adopted by educational institutions at their different levels to continue the teaching-learning process on a remote teaching that is based on the use of information and communication technologies during this difficult period that plagues the Country and the world, it is still a field that I am familiar with.
In view of the exposed, focusing on the achievement of the objectives and goals established at the first, if it is necessary to develop methodologies and use of tools that can meet the different realities presented and their peculiarities, in addition to stimulating the individuals involved to maintain the and discipline at a constant pace. Remote teaching implies a process of reflection and making decisions to work their limitations and meet everyone."
"O ensino remoto é uma forma de passa conteúdos e infomaçoes aos discentes nesse periodo de pandemia. Espero aproveita o maximo desse ferramentas digitais ofericidas pelo ifpb- cz, apesar de não ser um ensino presencial , mas confio que todos  do meio academico passara uma apredizagem otima ! ","Remote teaching is a form of passing contents and infomations to the students in this pandemic period.I hope it takes advantage of the maximum of this digital tools offered by IFPBRCZ, although it is not a face-to-face teaching, but I trust that all of the academic environment had passed a great learning!"
"     As expectativas nesse ensino digital, e para uma aprendizagem  excelente, na qual aja debates entre alunos e professores  por ferramentas específicas, para que os estudantes possa aprender e aprofundar mais nos conteúdos disponibilizados  pelos professores.  ","Expectations in Digital Teaching, and for excellent learning, in which you act debates between students and teachers by specific tools, so that students can learn and deepen more in the contents made available by teachers."
"O ensino remoto nos oferece duas formas de olhar para ele: com maus olhos ou com uma perspectiva de futuro. Quando falamos de ensino à distância , muitos já se reclamam e usam disso como desculpa para abandonar os estudos. Porém, devemos seguir de cabeça erguida já que o Ensino Remoto uniu alunos e professores mesmo que distantes um dos outros. Minha expectativa é que a tecnologia continue nos ajudando cada vez mais!","Remote teaching offers us two ways to look at him: with bad eyes or with a perspective of future.When we speak of distance learning, many already complain and use it as an excuse to abandon studies.However, we must head up with an erected head since remote education has united students and teachers even though distant one of the others.My expectation is that technology keeps helping us more and more!"
