Relatos,Relatos_Traduzidos,Relatos_tokenizados,Relatos_Traduzidos_Lematizados,Relatos_com_SentiStrength
"Espero que pelo ensino remoto consiga aprender muitos assuntos e repor conteúdos não estudados na série anterior. Eu tenho uma Internet que cai muitas vezes no mês,estou contando para que não seja um empecilho para mim em questão de aula ao vivo .

Está modalidade de ensino para mim é um pouco difícil pela questão de eu ser meio lenta para aprender conteúdo sempre tenho muitas dúvidas para serem tiradas. 
Tenho expectativas elevadas em questão da forma de aprendizagem,que seja rápida e prática de serem interpretadas e compreendidas sem palavras ou termos difíceis . 
","I hope that by remote education can learn many subjects and replenish contents not studied in the previous series.I have an internet that falls many times in the month, I'm telling you not to be a hindrance for me in a matter of live class.

This teaching mode for me is a bit difficult for the issue of being a bit slow to learn content I always have many doubts to be taken.
I have high expectations in question of the form of learning, which is rapid and practical to be interpreted and understood without difficult words or terms.",i hope remote education learn many subjects replenish contents studied previous internet falls many times month i telling hindrance matter live class this teaching mode bit difficult issue bit slow learn content i always many doubts taken i high expectations question form learning rapid practical interpreted understood without difficult words terms ,i hope remote education learn many subjects replenish contents studied previous internet falls many times month i telling hindrance matter live class this teaching mode bit difficult issue bit slow learn content i always many doubts taken i high expectations question form learning rapid practical interpreted understood without difficult words terms ,1
"Bom, estou bastante empolgada para fazer parte do IFPB, mas confesso que é um pouco difícil de lidar com as aulas não presenciais, até porque a aprendizagem não é do mesmo jeito, mas espero que mesmo com a dificuldade o ano seja bem proveitoso. Também estou empolgada para estudar sobre o curso, que no meu caso é o de edificações, e aprender muito sobre ele. E principalmente desejo que essa pandemia acabe logo para que todos nós possamos voltar as aulas presenciais com muita saúde e animação. ","Well, I'm pretty excited to be part of the IFPB, but I confess it's a bit difficult to deal with non-face-to-face classes, even because learning is not the same, but I hope even with the difficulty the year is very profitable.I am also excited to study about the course, which in my case is the buildings, and learn a lot about it.And especially I want this pandemic to end it soon for us all to return to face-to-face classes with great health and animation.",well i pretty excited part ifpb i confess bit difficult deal classes even learning i hope even difficulty year also excited study course case buildings learn lot especially i want pandemic end soon us return classes great health animation ,well i pretty excited part ifpb i confess bit difficult deal classes even learning i hope even difficulty year also excited study course case buildings learn lot especially i want pandemic end soon us return classes great health animation ,2
"Ao meu ver as atividades  não presenciais estão sendo bem precisas e nos é favorável, olhando pelo ponto de vista do que estamos passando. Porém, nos impedem que de certa forma possamos ir além. Pois, nada melhor que estarmos em uma sala de aula com o contato físico do calor humano e, trocando mais idéias sobre os conhecimentos que precisamos adquirir.","In my view the non-face-to-face activities are being very precise and is favorable, looking from the point of view of what we are going through.However, they prevent us from a way to go beyond.For nothing better than being in a classroom with the physical contact of human heat and, exchanging more ideas about the knowledge we need to acquire.",in view activities precise favorable looking point view going prevent us way go nothing better classroom physical contact human heat exchanging ideas knowledge need acquire ,in view activities precise favorable looking point view going prevent us way go nothing better classroom physical contact human heat exchanging ideas knowledge need acquire ,1
"Não tenho memórias boas em relação ao ensino remoto no geral; não aprendi ao menos 50% dos conteúdos que foram passados para mim em 2020. Devido ao meu estado mental eu acabei desistindo de mim no ano passado, mas espero que esse ano eu me dê uma chance para aprender com vocês. ","I do not have good memories in relation to remote education in general;I did not learn at least 50% of the contents that were passed to me in 2020. Due to my mental state I ended up giving up on me last year, but I hope this year I give me a chance to learn from you.",i good memories relation remote education general i learn least contents passed due mental state i ended giving last year i hope year i give chance learn ,i good memories relation remote education general i learn least contents passed due mental state i ended giving last year i hope year i give chance learn ,2
"Eu acho que o ensino não presenciais e bom pela uma parte, e ruim pela a outra, por que não podemos esta numa sala de aula, mais acho bom que vamos poder ter aulas on-line pra desenvolver o aprendizado e aprender...","I think teaching non-face-to-face and good for a part, and bad for the other, because we can not be in a classroom, but I think we can have classes online to develop learning and learn ...",i think teaching good part bad classroom i think classes online develop learning learn ,i think teaching good part bad classroom i think classes online develop learning learn ,0
"     O ensino remoto não vem facilitando para ambos, tanto alunos como professores vem sofrendo com esse tipo de ensino por conta de dificuldades pessoais como a ausência de internet ou aparelhos eletrônicos.
     Muitos professores não facilitam muito, pois passam muitas atividades de uma só vez, dando assim pouco prazo para resposta.
     Como não temos muitos outros meios de estudo, o ensino remoto deve substituir o presencial por pouco tempo, pois com o tempo algumas medidas devem ser tomadas para a volta das aulas presenciais.","Remote teaching has not been facilitating for both, both students as teachers has been suffering from this type of teaching because of personal difficulties such as the absence of Internet or electronic devices.
     Many teachers do not make it much easier because there are many activities at one time, giving so little term for response.
     As we do not have many other means of study, remote teaching should replace the face-to-face for a short time, since with time some measures should be taken for the return of face-to-face classes.",remote teaching facilitating students teachers suffering type teaching personal difficulties absence internet electronic devices many teachers make much easier many activities one time giving little term response as many means study remote teaching replace short time since time measures taken return classes ,remote teaching facilitating students teachers suffering type teaching personal difficulties absence internet electronic devices many teachers make much easier many activities one time giving little term response as many means study remote teaching replace short time since time measures taken return classes ,-3
"A expectativa é grande sobre o ensino remoto,já que esse estilo de ensino é diferente do que estamos acostumados, mas espero aprender da mesma forma ","The expectation is great about remote education, since this style of teaching is different from what we are accustomed, but I hope to learn the same way",the expectation great remote education since style teaching different accustomed i hope learn way ,the expectation great remote education since style teaching different accustomed i hope learn way ,1
"Confesso que ainda não estou bem acostumado com o ensino remoto, mais aos poucos vamos se acostumando. Minhas expectativas é que vai da tudo certo, a escola facilita muito o ensino, dando o seu melhor, com (Professores, diretores etc.) ","I confess that I am not yet well accustomed to remote education, but gradually let's get accustomed.My expectations are that everything goes well, school makes teaching a lot, giving your best, with (teachers, directors, etc.)",i confess i yet well accustomed remote education gradually let get expectations everything goes well school makes teaching lot giving best teachers directors etc ,i confess i yet well accustomed remote education gradually let get expectations everything goes well school makes teaching lot giving best teachers directors etc ,0
"Espero a dificuldade do ensino remoto, quanto a falta presencial das aulas, contudo , acredito na capacidade dos professores e de suas metodologias de ensino","I expect the difficulty of remote education, as to the face-to-face of classes, however, I believe in the capacity of teachers and their teaching methodologies",i expect difficulty remote education classes however i believe capacity teachers teaching methodologies ,i expect difficulty remote education classes however i believe capacity teachers teaching methodologies ,-1
"é um pouco desanimador, pois sempre quis estudar no IF de forma presencial, é claro, mas em breve tudo isso acabará e iremos para o campus","is a bit discouraging, because I always wanted to study in the IF in a face-to-face, of course, but soon all this will end and we will go to the campus",bit discouraging i always wanted study if course soon end go campus ,bit discouraging i always wanted study if course soon end go campus ,-1
"                          Novas experiências
 No IFPB, já me sinto confortável. Apesar das aulas não terem começado presencialmente, me sinto pronta para essa nova fase de conhecimento estudantil e pessoal. ","New experiences
 In IFPB, I already feel comfortable.Despite classes they have not begun in person, I feel ready for this new phase of student and personal knowledge.",new experiences in ifpb i already feel classes begun person i feel ready new phase student personal knowledge ,new experiences in ifpb i already feel classes begun person i feel ready new phase student personal knowledge ,0
"O ensino remoto ainda está sendo novo pra mim, e ainda preciso tirar dúvidas sobre os aplicativos que iremos usar nesse momento. Mas eu sei que vou conseguir me adaptar a essa nova realidade. ","Remote teaching is still being new to me, and I still need to ask questions about the applications that we will use at that time.But I know I can adapt to this new reality.",remote teaching still new i still need ask questions applications use i know i adapt new reality ,remote teaching still new i still need ask questions applications use i know i adapt new reality ,0
"As expectativas são muitas e as melhores, porém com o ensino remoto, pode se tornar algo dificultoso em relação ao ensino/aprendizado. Uma vez em que o ensino a distância não possibilita um contato direto com todos os integrantes do campus. ","Expectations are many and best, but with remote education, it can become something difficult about teaching / learning.Once distance learning does not allow direct contact with all campus members.",expectations many best remote education become something difficult teaching distance learning allow direct contact campus members ,expectations many best remote education become something difficult teaching distance learning allow direct contact campus members ,0
"  Minhas expectativas em relação ao ensino remoto são altas, e acredito que será algo desafiador, devido a necessidade de uma adaptação do ensino presencial ,para um ensino remoto.
  Apesar da grande diferença entre o ensino remoto e o ensino presencial em minha percepção, espero que seja o mais proveitoso possível, nas circunstâncias atuais.
  Pelo que me foi apresentado até aqui, o ensino é de excelência qualidade,e estou ansioso para participar das aulas presenciais,quando for possível ","My expectations regarding remote education are high, and I believe it will be a challenging, due to the need for an adaptation of face-to-face education for remote education.
  Despite the big difference between remote education and face-to-face education in my perception, I hope it is as useful as possible, in current circumstances.
  As far as I was presented to me, the teaching is of excellence quality, and I am looking forward to participating in the face-to-face classes, when possible",my expectations regarding remote education high i believe challenging due need adaptation education remote education despite big difference remote education education perception i hope useful possible current circumstances as far i presented teaching excellence quality i looking forward participating classes possible ,my expectations regarding remote education high i believe challenging due need adaptation education remote education despite big difference remote education education perception i hope useful possible current circumstances as far i presented teaching excellence quality i looking forward participating classes possible ,3
"Eu acho que o ensino remoto deste ano de 2021, será muito superior ao do ano de 2020. Minhas expectativas para o IFPB e as aulas remotas são esplendorosas e maravilhosas.",I think this year's remote teaching of 2021 will be far superior to the year 2020. My expectations for IFPB and remote classes are splendid and wonderful.,i think year remote teaching far superior year my expectations ifpb remote classes splendid wonderful ,i think year remote teaching far superior year my expectations ifpb remote classes splendid wonderful ,3
"Acredito que continuará sendo uma nova experiência, que será muito enriquecedora e que poderá trazer bons frutos, mesmo diante de todas as adversidades atuais.","I believe it will continue to be a new experience, which will be very enriching and that you can bring good fruits, even in the face of all current adversities.",i believe continue new experience enriching bring good fruits even face current adversities ,i believe continue new experience enriching bring good fruits even face current adversities ,0
"   As Atividades de Ensino Não Presenciais, são de extrema importância na atual situação do Brasil e do mundo, sob a ameaça da COVID-19. É um meio de ensino que preserva a saúde e a vida dos estudantes e professores. Sendo assim, eu acredito que o ensino remoto parta de um objetivo humanitário.","Non-face-to-face education activities are of extreme importance in the current situation in Brazil and the world, under the threat of Covid-19.It is a means of teaching that preserves the health and life of students and teachers.Therefore, I believe that remote teaching of a humanitarian goal.",education activities extreme importance current situation brazil world threat means teaching preserves health life students i believe remote teaching humanitarian goal ,education activities extreme importance current situation brazil world threat means teaching preserves health life students i believe remote teaching humanitarian goal ,-2
"O ensino remoto é algo novo para mim, estou em época de adaptação e é sempre bom estar acostumada com mudanças. Acredito que irei sim conseguir administrar o tempo e realizar o que será proposto. Será um ambiente que não estou muito acostumada, mas irei conseguir! ","Remote teaching is something new to me, I am in time of adaptation and it is always good to be accustomed to changes.I believe I will be able to manage time and realize what will be proposed.It will be an environment that I am not very accustomed, but I will get it!",remote teaching something new i time adaptation always good accustomed believe i able manage time realize environment i accustomed i get ,remote teaching something new i time adaptation always good accustomed believe i able manage time realize environment i accustomed i get ,0
"Acredito que o ensino remoto não seja algo muito bom, mas em visto a situação atual em que estamos vivendo é considerável. Particularmente adoraria ter de volta às atividades presenciais, mas acima de tudo sei que os professores estão dando o melhor de si e nós alunos nos esforçando para fazer o ensino remoto valer a pena.","I believe that remote teaching is not very good, but seen the current situation in which we are living is considerable.Particularly would love to have back to face-to-face activities, but above all I know that teachers are giving the best of themselves and we students struggling to make remote teaching worth it.",i believe remote teaching good seen current situation living would love back activities i know teachers giving best students struggling make remote teaching worth ,i believe remote teaching good seen current situation living would love back activities i know teachers giving best students struggling make remote teaching worth ,0
"O ensino remoto é diferente do que estamos acostumados, mas espero aprender da mesma forma e com a mesma qualidade que o ensino presencial, com a ajuda e orientação dos professores. Também vou me esforçar muito para melhor a minha aprendizagem.","Remote teaching is different from what we are accustomed to, but I hope to learn in the same way and with the same quality as face-to-face education, with the help and guidance of teachers.I will also try hard for better my learning.",remote teaching different accustomed i hope learn way quality education help guidance also try hard better learning ,remote teaching different accustomed i hope learn way quality education help guidance also try hard better learning ,1
"Minhas expectativas quanto ao ensino remoto é que seja bastante aproveitado, tentando seguir planos e rotinas, com organização para ter o controle e não perder o foco no aprendizado, pois, estamos em um tempo bastante difícil, com muitas dificuldades ao longo dos estudos.","My expectations regarding remote education is that it is quite harvested, trying to follow plans and routines, with organization to have control and not lose focus on learning, because we are in a very difficult time, with many difficulties throughout the studies.",my expectations regarding remote education quite harvested trying follow plans routines organization control lose focus learning difficult time many difficulties throughout studies ,my expectations regarding remote education quite harvested trying follow plans routines organization control lose focus learning difficult time many difficulties throughout studies ,-1
" Como ouvi falar muito bem da IF , minhas expectativas são altas penso em ampliar meu ciclo de amizade , fazer coisas novas e estou muito anciosa para aprender sobre o meu curso.","As I heard very well the IF, my expectations are high I think of expanding my cycle of friendship, doing new things and I am very anxious to learn about my course.",as i heard well if expectations high i think expanding cycle friendship new things i anxious learn course ,as i heard well if expectations high i think expanding cycle friendship new things i anxious learn course ,-1
"Espero que seja um período proveitoso, sem déficit nos conteúdos nem na interação entre estudantes, professores e coordenação.","I hope it is a profitful period, no deficit in the contents or the interaction between students, teachers and coordination.",i hope profitful period deficit contents interaction students teachers coordination ,i hope profitful period deficit contents interaction students teachers coordination ,1
"Minhas expectativas são positivas, mesmo sabendo que estamos em uma forma de ensino remota que traz grandes desafios, mas que, ao mesmo tempo nos dá a oportunidade de desenvolver outras habilidades e competências que ainda não estavam sendo tão usufruídas no processo de aprendizagem.","My expectations are positive, even knowing that we are in a remote form of education that brings great challenges, but that at the same time gives us the opportunity to develop other skills and skills that have not yet been as enjoyable in the learning process.",my expectations positive even knowing remote form education brings great challenges time gives us opportunity develop skills skills yet enjoyable learning process ,my expectations positive even knowing remote form education brings great challenges time gives us opportunity develop skills skills yet enjoyable learning process ,1
"  As minhas expectativas é que com essas aulas remotas vão ajudar a continar  tendo aula, mais não vai ser como antes  alunos vão demorar um pouco para se adaptar.

 As aulas não precencias é bom Para aqueles alunos que tem dificuldade de ir para a escola não tendo transporte ou morando em zonas rurais por exemplo.

   E as escolas tiveram que se adaptar a um novo estilo de ensino e  mudarem algumas coisas e acabaram se atrasando por conta disso isso acabou prejudicando alunos e escolas
as aulas precencias está sendo  boa para não atrasarem mais ainda alunos e escolas.

","My expectations is that with these remote lessons will help you contain taking class, but it will not be as before students will take a while to adapt.

 Non-precision classes is good for those students who have difficulty going to school having no transport or living in rural areas for example.

   And schools had to adapt to a new teaching style and change some things and ended up being late because of this it ended up harming students and schools
Classes are good not to delay even more students and schools.",my expectations remote lessons help contain taking class students take adapt classes good students difficulty going school transport living rural areas example and schools adapt new teaching style change things ended late ended harming students schools classes good delay even students schools ,my expectations remote lessons help contain taking class students take adapt classes good students difficulty going school transport living rural areas example and schools adapt new teaching style change things ended late ended harming students schools classes good delay even students schools ,-1
"Me sinto um pouco desconfortável, mesmo tendo conhecimento sobre os meios de ensino remoto e tendo uma equipe de gestão de apoio para os alunos, o início da faculdade vai ser um pouco difícil por determinadas matérias e pelo ano letivo um pouco confuso por causa da pandemia, em geral é esse o meu desconforto agora no início de faculdade.","I feel a little uncomfortable, even though I have knowledge about the remote media and having a support management team for students, the beginning of college will be a bit difficult for certain subjects and the school year a little confusing because of the pandemic, Overall this is my discomfort now at the beginning of college.",i feel little uncomfortable even though i knowledge remote media support management team students beginning college bit difficult certain subjects school year little confusing pandemic overall discomfort beginning college ,i feel little uncomfortable even though i knowledge remote media support management team students beginning college bit difficult certain subjects school year little confusing pandemic overall discomfort beginning college ,-1
"Graças ao avanço da tecnologia nós podemos ter aulas, não presenciais, por motivo do grave momento em que estamos vivendo. Não é nada fácil, mas com o tempo gera a adaptação! 
Minhas expectativas quanto ao ensino remoto é que eu consiga fazer novas amizades e aprender mais sobre o meu curso, acumulando, assim, novas experiências.","Thanks to the advancement of technology we can take classes, do not face, because of the serious moment when we are living.It's not easy, but over time it generates adaptation!
My expectations regarding remote education is that I can make new friendships and learn more about my course, thus accumulating new experiences.",thanks advancement technology take classes face serious moment easy time generates adaptation my expectations regarding remote education i make new friendships learn course thus accumulating new experiences ,thanks advancement technology take classes face serious moment easy time generates adaptation my expectations regarding remote education i make new friendships learn course thus accumulating new experiences ,0
"As minhas expectativas não são tão altas, estudo a distancia não é muito bom, tem vários fatores que podem tornar o ensino remoto bem complicado tais como o não acesso a internet diariamente, não ter um ambiente adequado ou calmo para estudar, a desmotivação entres outros fatores.Como estudante do ensino médio meu ultimo ano foi ensino remoto, passei algumas dificuldades ao longo dos meses o que me desmotivou bastante sobre o ensino remoto mais acabei não deixando me abalar por não ter acesso a internet o tempo inteiro ou um aparelho celular bom para me ajudar nessa forma de ensino, consegui terminar meu ensino médio, com um pouco de dificuldade mas consegui!  ","My expectations are not so high, study the distance is not very good, has several factors that can make remote education well complicated such as non access to internet daily, do not have a proper or calm environment to study, unmotivation after othersfactors.To help me in this form of teaching, I was able to finish my high school, with a little difficulty but I got it!",my expectations high study distance good several factors make remote education well complicated non access internet daily proper calm environment study unmotivation help form teaching i able finish high school little difficulty i got ,my expectations high study distance good several factors make remote education well complicated non access internet daily proper calm environment study unmotivation help form teaching i able finish high school little difficulty i got ,0
"Eu tenho a expectativa de aprender mais. Pois na minha antiga escola, alguns dos professores não tinham domínio da tecnologia e a aula perdia muito da didática. Então a minha expectativa é: estar num ambiente onde os professores saibam lidar com isso, para melhorar a minha aprendizagem. No entanto eu queria muito conhecer o campus, os professores e os meus novos colegas. É estranho pensar que estudo numa escola que não conheço, com pessoas que nunca vi. :(","I have the expectation of learning more.For in my old school, some of the teachers had no mastery of technology and the lesson lost much of the didactics.So my expectation is: to be in an environment where teachers know how to deal with this, to improve my learning.However I really wanted to know the campus, the teachers and my new colleagues.It's strange to think that I study at a school I do not know, with people I've never seen.:(",i expectation learning old school teachers mastery technology lesson lost much expectation environment teachers know deal improve i really wanted know campus teachers new strange think i study school i know people i never seen ,i expectation learning old school teachers mastery technology lesson lost much expectation environment teachers know deal improve i really wanted know campus teachers new strange think i study school i know people i never seen ,1
"Na minha opinião será pouco conturbado por motivo que meu curso escolhido a muitas atividades que necessitam de pratica, Já em relação a aulas e matérias online se torna mais pratico ","In my opinion it will be little troubled for the reason that my course chosen to many activities that require practical, already in relation to classes and online materials becomes more practical",in opinion little troubled reason course chosen many activities require practical already relation classes online materials becomes practical ,in opinion little troubled reason course chosen many activities require practical already relation classes online materials becomes practical ,-1
Tenho boas expectativas ainda mais com os belos profissionais que a instituição possui ,I have good expectations even more with the beautiful professionals that the institution has,i good expectations even beautiful professionals institution ,i good expectations even beautiful professionals institution ,2
"As expectativas são altas, mas reais, afinal estudo de forma autônomo há dois anos, o primeiro ano foi devido a ineficácia do ensino médio público, superficial, como também não levava em conta minhas habilidades cognitivas particulares, o que me limitava, no segundo, descobri ou melhorei, não sei, áreas de inteligências como interpessoal e espacial. Então, ensino a distância só me beneficiou e me tirou da ideia ilusória “estudante” e me tornou um pensante questionador. 
Assim, espero um altíssimo aprendizado conforme as demandas das grades do curso e dos problemas reais da vida.
","Expectations are high, but real, afterwards, studied autonomously two years ago, the first year was due to the ineffectiveness of public, superficial high school, but also did not take into account my particular cognitive skills, which limited me in the secondI discovered or improved, I do not know, areas of intelligences as interpersonal and spatial.So, teaching distance only benefited me and took me out of the illusory idea ""student"" and made me a wonder questioner.
Thus, I expect a very high learning according to the demands of the travel grids and the real problems of life.",expectations high real afterwards studied autonomously two years ago first year due ineffectiveness public superficial high school also take account particular cognitive skills limited secondi discovered improved i know areas intelligences interpersonal teaching distance benefited took illusory idea student made wonder questioner thus i expect high learning according demands travel grids real problems life ,expectations high real afterwards studied autonomously two years ago first year due ineffectiveness public superficial high school also take account particular cognitive skills limited secondi discovered improved i know areas intelligences interpersonal teaching distance benefited took illusory idea student made wonder questioner thus i expect high learning according demands travel grids real problems life ,0
"O ensino remoto foi uma ótima forma de continuar os estudos, claro que não tão bom quanto presencial, mas está indo bem e estou aprendendo bastante através daqui. Espero que continue dando certo e que seja um ótimo ano letivo, que nós possamos aprender muito.","Remote teaching was a great way to continue studies, of course not as good as face-to-face, but it's going well and I'm learning a lot through here.I hope it continues to work out and be a great school year, which we can learn a lot.",remote teaching great way continue studies course good going well i learning lot hope continues work great school year learn lot ,remote teaching great way continue studies course good going well i learning lot hope continues work great school year learn lot ,2
"Primeiramente que é um prazer está cursando meu ensino médio e o técnico, na ifpb campus cajazeiras. E que o ensino remoto é a única opção no momento. Pra falar a verdade não é fácil passar horas assistindo aula via olinne, e ter que tá todo momento assim, mas espero que der tudo certo, e que todas as minhas expectativas sejam realizadas. E desde de já agradeço todo o apoio que tem nos dados, e todo o cuidado que estão tendo com a gente para que tudo saia como planejado.","First of all it is a pleasure to be attending my high school and the technician at IFPB Campus Cajazeiras.And that remote teaching is the only option at the moment.To tell you the truth it is not easy to spend hours watching class via olinne, and having that all the time, but I hope everything goes well, and that all my expectations are realized.And from now on I thank all the support you have in the data, and all the care you are having with us for everything to leave as planned.",first pleasure attending high school technician ifpb campus remote teaching option tell truth easy spend hours watching class via olinne time i hope everything goes well expectations i thank support data care us everything leave planned ,first pleasure attending high school technician ifpb campus remote teaching option tell truth easy spend hours watching class via olinne time i hope everything goes well expectations i thank support data care us everything leave planned ,2
"O ensino remoto é uma realidade cada vez mais comuns nas escolas atualmente; o ensino remoto é uma faca de dois gumes; pois não precisamos nos deslocar e podemos estudar do conforto da nossa casa, mas ao achar soluções também achamos algumas dificuldades pois algumas pessoas não tem acesso a internet ou a internet é ruim. Além disso temos as pessoas que  não sabem mecher muito bem com essas tecnologias, para resolver isso precisamos dar mais assistencia a elas e ajudar e mostrar o melhor e mais fácil caminho as pessoas que não conseguem se adaptar a essas novas ferramentas virtuais. ","Remote teaching is an increasingly common reality in schools today;Remote teaching is a double-edged knife;For we do not need to travel and we can study the comfort of our home, but when finding solutions we also find some difficulties because some people do not have access to the internet or the internet is bad.In addition we have people who do not know how to mecher very well with these technologies, to solve this we need to give more assistance to them and help and show the best and easiest way people who can not adapt to these new virtual tools.",remote teaching increasingly common reality schools today remote teaching knife for need travel study comfort home finding solutions also find difficulties people access internet internet addition people know mecher well technologies solve need give assistance help show best easiest way people adapt new virtual tools ,remote teaching increasingly common reality schools today remote teaching knife for need travel study comfort home finding solutions also find difficulties people access internet internet addition people know mecher well technologies solve need give assistance help show best easiest way people adapt new virtual tools ,0
"O ensino remoto foi aderido de forma ""forçada"" devido a pandemia que perdura até os dias atuais. Vejo que ele (ensino remoto) possui suas vantagens e desvantagens, mas que no atual momento é necessário. Um dos grandes problemas enfrentados é qualidade da Internet, visto que têm dias na qual está em ótima sincronia, isto é, boa qualidade. Entretanto, outros dias a mesma possui um leque de problemas, deixando muitas vezes sem entendimento do que o professor esteja tratando, dificultando assim, o nosso aprendizado. ","Remote teaching was adhered in a ""forced"" way due to the pandemic that lasts to the present day.I see that it (remote teaching) has its advantages and disadvantages, but that in the current moment is necessary.One of the big problems faced is internet quality, since they have days in which it is in great sync, that is, good quality.However, other days the same has a range of problems, leaving often without understanding of what the teacher is dealing with, making it difficult for our learning.",remote teaching adhered forced way due pandemic lasts present see remote teaching advantages disadvantages current moment big problems faced internet quality since days great sync good days range problems leaving often without understanding teacher dealing making difficult learning ,remote teaching adhered forced way due pandemic lasts present see remote teaching advantages disadvantages current moment big problems faced internet quality since days great sync good days range problems leaving often without understanding teacher dealing making difficult learning ,1
" Espero que o Ensino remoto seja capaz de surprir as necessidades do presencial. acredito que por meu curso ser um curso de tecnologia, não vai sofrer tanta diferença assim na questão de didática, porém em um período mais avançado talvez eu precise ir na cidade pra rodar algum programa mais pesado, que meu computador não aguente. O ensino presencial faz falta, principalmente pera interação, e também pela facilidade de manter a disciplina nos estudos.","I hope that remote teaching is able to surrender the needs of the face-to-face.I believe that because of my course to be a course of technology, it will not suffer so much difference so in the question of didactics, but in a more advanced period maybe I need to go in the city to run some heavier program, which my computer can not stand.President teaching is lacking, mainly pear interaction, and also for the ease of maintaining discipline in studies.",i hope remote teaching able surrender needs believe course course technology suffer much difference question didactics advanced period maybe i need go city run heavier program computer teaching lacking mainly pear interaction also ease maintaining discipline studies ,i hope remote teaching able surrender needs believe course course technology suffer much difference question didactics advanced period maybe i need go city run heavier program computer teaching lacking mainly pear interaction also ease maintaining discipline studies ,-1
"O ensino remoto de minha parte é bom, mesmo que não tenha o mesmo aprendizado de ser ao vivo em sala de aula. Porem para alunos que queira mesmo o saber sendo remoto ou presencial sempre sera alcançado","Remote teaching on my part is good, even if you do not have the same learning to be live in the classroom.But for students who even want to know how to be remote or face-to-face will always be achieved",remote teaching part good even learning live students even want know remote always achieved ,remote teaching part good even learning live students even want know remote always achieved ,1
"O ensino remoto, tem suas vantagens é um ensino muinto bom, como tambem tem algumas devantagens, mais eu espero aprander muinto nas aulas remotas ","Remote teaching, has its advantages is a very good teaching, as it also has some devastations, but I hope it feels a lot in remote lessons",remote teaching advantages good teaching also devastations i hope feels lot remote lessons ,remote teaching advantages good teaching also devastations i hope feels lot remote lessons ,-2
"Pelo momento complicado em que estamos passando, as aulas remotas serão de grande ajuda, porém com maiores dificuldades, conseguir prestar atenção a todas as atividades a serem feitas, conseguir entender como funciona as novas formas de assistir aula, tudo isso vem como um desafio. Aos poucos iremos nos acostumar.","From the complicated moment we are passing, remote lessons will be of great help, but with greater difficulties, to pay attention to all the activities to be made, to understand how new ways of attending lesson works, all this comes as a challenge.Gradually we will get used to it.",from complicated moment passing remote lessons great help greater difficulties pay attention activities made understand new ways attending lesson works comes get used ,from complicated moment passing remote lessons great help greater difficulties pay attention activities made understand new ways attending lesson works comes get used ,1
"Minhas expectativas são médias, nunca tive um ensino remoto mas espero que possa aprender mesmo sem aula presencial, estou um pouco insegura mas minha turma é ótima, consegui fazer muitos amigos e espero que os professores sejam ótimos também.","My expectations are averages, I have never had a remote teaching but I hope you can learn even without attending class, I am a bit insecure but my class is great, I managed to make many friends and I hope the teachers are great too.",my expectations averages i never remote teaching i hope learn even without attending class i bit insecure class great i managed make many friends i hope teachers great ,my expectations averages i never remote teaching i hope learn even without attending class i bit insecure class great i managed make many friends i hope teachers great ,1
"Espero aprender o máximo com essas aulas remotas e em breve presencial, estou muito ansioso pra às aulas presenciais, mas por enquanto vamos de remotas. A adaptação vai ser complicada, só que aos cria certo costume","I hope to learn the maximum with these remote classes and soon to face, I am very anxious to the classroom, but for now we will remote.The adaptation will be complicated, only the creative custom",i hope learn maximum remote classes soon face i anxious classroom adaptation complicated creative custom ,i hope learn maximum remote classes soon face i anxious classroom adaptation complicated creative custom ,0
